,City,Rank,Sunshine hours(City),Cost of a bottle of water(City),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score) (City),Annual avg. hours worked,Happiness levels(Country),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City),SunshinePerDay,WorkPerDay
0,Amsterdam,1,1858.0,2.5152,20.4,81.2,30.93,1434.0,7.44,422,1048,45.719,5.0,4.0
1,Sydney,2,2636.0,1.9388,29.0,82.1,26.86,1712.0,7.22,406,1103,54.5746,7.0,5.0
2,Vienna,3,1884.0,2.5414,20.1,81.0,17.33,1501.0,7.29,132,1008,33.7194,5.0,4.0
3,Stockholm,4,1821.0,2.2532,20.6,81.8,19.63,1452.0,7.35,129,598,48.87610000000001,5.0,4.0
4,Copenhagen,5,1630.0,2.8689,19.7,79.8,21.24,1380.0,7.64,154,523,42.6143,5.0,4.0
5,Helsinki,6,1662.0,2.096,22.2,80.4,13.08,1540.0,7.8,113,309,46.1513,5.0,4.0
6,Fukuoka,7,2769.0,1.0218,4.3,83.2,0.0,1644.0,5.87,35,539,73.1897,8.0,5.0
7,Berlin,8,1626.0,2.0305,22.3,80.6,39.41,1386.0,7.07,254,1729,34.204100000000004,5.0,4.0
8,Barcelona,9,2591.0,1.5589,23.8,82.2,65.19,1686.0,6.4,585,2344,49.518,7.0,5.0
9,Vancouver,10,1938.0,1.4148,29.4,81.7,24.26,1670.0,7.23,218,788,40.6624,5.0,5.0
10,Melbourne,11,2363.0,2.0567,29.0,82.1,25.9,1712.0,7.22,243,813,48.325900000000004,7.0,5.0
11,Beijing,12,2671.0,0.3406,6.2,75.4,85.43,0.0,5.12,223,261,50.5922,7.0,0.0
12,Bangkok,13,2624.0,0.2882,10.0,74.1,76.64,0.0,5.99,377,1796,65.5393,7.0,0.0
13,Buenos Aires,14,2525.0,0.7466999999999999,28.3,75.9,52.64,0.0,5.97,246,1435,29.4095,7.0,0.0
14,Toronto,15,2066.0,1.4279000000000002,29.4,81.7,37.83,1670.0,7.23,174,1656,42.7584,6.0,5.0
15,Madrid,16,2769.0,1.703,23.8,82.2,52.68,1686.0,6.4,216,2491,45.2474,8.0,5.0
16,Jakarta,17,2983.0,0.2751,6.9,68.5,84.39,0.0,5.28,114,833,39.2214,8.0,0.0
17,Seoul,18,2066.0,0.7729,4.7,81.3,57.82,1967.0,5.87,144,389,56.3693,6.0,5.0
18,Frankfurt,19,1662.0,2.5545,22.3,80.6,37.78,1386.0,7.07,23,551,51.1031,5.0,4.0
19,Geneva,20,0.0,3.4322000000000004,19.5,82.6,27.25,1557.0,7.56,44,444,91.7,0.0,4.0
20,Tel Aviv,21,3311.0,2.1353,26.1,81.9,47.28,1898.0,7.12,139,420,76.3861,9.0,5.0
21,Istanbul,22,2218.0,0.1965,32.1,74.7,69.49,1832.0,5.13,419,934,22.2307,6.0,5.0
22,Cairo,23,3542.0,0.2096,32.0,70.7,91.74,0.0,4.15,323,250,30.4575,10.0,0.0
23,Taipei,24,1405.0,0.7466999999999999,6.2,75.4,49.32,0.0,5.12,134,717,45.5356,4.0,0.0
24,Los Angeles,25,3254.0,1.9912,36.2,78.8,66.07,1779.0,6.94,223,1439,41.92,9.0,5.0
25,Mumbai,26,2584.0,0.1965,3.9,67.3,82.84,0.0,3.57,187,1183,25.5974,7.0,0.0
26,Boston,27,2634.0,1.8209,36.2,78.8,27.03,1779.0,6.94,88,588,60.61370000000001,7.0,5.0
27,Dublin,28,1453.0,1.8339999999999999,25.3,80.5,40.07,1772.0,7.09,159,659,48.92850000000001,4.0,5.0
28,Tokyo,29,1877.0,0.9956,4.3,83.2,42.84,1644.0,5.87,387,5802,92.7742,5.0,5.0
29,Chicago,30,2508.0,1.572,36.2,78.8,43.33,1779.0,6.94,171,1320,53.8934,7.0,5.0
30,Hong Kong,31,1836.0,0.9825,6.2,75.4,67.46,0.0,5.51,277,1257,75.9145,5.0,0.0
31,Shanghai,32,1776.0,0.3799,6.2,75.4,77.4,0.0,5.12,108,346,58.5308,5.0,0.0
32,Brussels,33,1546.0,2.7641,22.1,80.4,62.67,1583.0,6.86,55,988,33.1954,4.0,4.0
33,San Francisco,34,3062.0,2.096,36.2,78.8,47.36,1779.0,6.94,242,1031,85.3203,9.0,5.0
34,Paris,35,1662.0,2.5545,21.6,81.8,65.1,1505.0,6.66,331,4363,47.0683,5.0,4.0
35,Sao Paulo,36,2003.0,0.5764,22.1,73.9,79.78,0.0,6.37,158,3355,21.0517,6.0,0.0
36,Zurich,37,1566.0,4.192,19.5,82.6,17.31,1557.0,7.56,69,538,95.7741,4.0,4.0
37,London,38,1633.0,1.5196,27.8,80.4,58.91,1538.0,7.16,433,6417,55.950100000000006,5.0,4.0
38,Johannesburg,39,3124.0,0.7729,28.3,56.3,61.83,0.0,4.81,194,492,31.806800000000003,9.0,0.0
39,Milan,40,1915.0,1.5065,19.9,82.7,67.19,1718.0,6.38,110,2396,70.0719,5.0,5.0
40,"Washington, D.C.",41,2528.0,1.8995,36.2,78.8,39.18,1779.0,6.94,83,744,86.4469,7.0,5.0
41,New York,42,2535.0,1.7292,36.2,78.8,57.36,1779.0,6.94,359,3081,84.7046,7.0,5.0
42,Moscow,43,1901.0,0.5371,23.1,69.5,57.63,1965.0,5.54,322,3206,41.134,5.0,5.0
43,Mexico City,44,2555.0,0.5895,28.9,76.4,82.78,2137.0,6.46,192,1313,55.0069,7.0,6.0
